127.0.0.1 - - [27/Feb/2024:14:30:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:30:19 +0900] "GET /JSP01/Ex02_Table.jsp HTTP/1.1" 500 2240
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:30:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:30:28 +0900] "GET /JSP01/Ex02_Table.jsp HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:48:13 +0900] "GET /JSP01/Ex03_InputName.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:48:13 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:48:34 +0900] "GET /JSP01/Ex03_InputName.jsp HTTP/1.1" 200 276
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:48:41 +0900] "GET /JSP01/Ex03_InputName.html HTTP/1.1" 200 512
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:48:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:48:45 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:48:49 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:49:38 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 200 290
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:50:13 +0900] "GET /JSP01/Ex03_InputName.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:50:17 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:52:08 +0900] "GET /JSP01/Ex03_InputName.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:52:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:52:10 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:52:48 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:56:13 +0900] "GET /JSP01/Ex03_InputName.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:56:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:56:16 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 500 2295
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:56:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:57:01 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 500 2295
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:57:04 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:57:08 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 500 2295
0:0:0:0:0:0:0:1 - - [27/Feb/2024:14:57:23 +0900] "POST /JSP01/Ex03_InputName.jsp HTTP/1.1" 200 304
